document_id,author_id,author_role,team,department,created_date,updated_date,approval_status,approval_date,version,status,authority_level,confidentiality_level,document_type,source_type,review_frequency,next_review_date
DOC-0012,emp_208,Unverified,Product Core Team,Product,2025-09-20,2026-06-06,Under Review,,1.2,Draft,Unverified,Public,Meeting Decision,Confluence,Annual,2027-06-06
DOC-0013,emp_159,Architecture Team,Product Core Team,Product,2025-12-04,2026-04-28,Approved,2026-04-28,2.0,Superseded,Architecture Team,Internal,Project Documentation,Git Markdown,Annual,2027-04-28
DOC-0014,emp_652,Architecture Team,Architecture Core Team,Architecture,2024-12-31,2025-11-15,Rejected,,3.1,Draft,Architecture Team,Confidential,Project Documentation,Confluence,Annual,2026-11-15
DOC-0015,emp_702,Architecture Board,Engineering Core Team,Engineering,2022-04-17,2025-08-04,Under Review,,3.2,Superseded,Architecture Board,Public,Deprecated Document,Git Markdown,Annual,2026-08-04
DOC-0016,emp_785,Principal Engineer,Data Engineering Core Team,Data Engineering,2022-03-15,2025-03-23,Under Review,,3.2,Draft,Principal Engineer,Confidential,Policy,Confluence,Annual,2026-03-23
DOC-0017,emp_462,Engineer,Engineering Core Team,Engineering,2023-04-22,2025-12-03,Approved,2025-12-03,3.0,Active,Engineer,Public,Standard,Git Markdown,Annual,2026-12-03
DOC-0018,emp_559,Unverified,Platform Core Team,Platform,2023-05-15,2024-05-24,Draft,,1.1,Draft,Unverified,Public,Engineering Note,Confluence,Annual,2025-05-24
DOC-0019,emp_516,Senior Architect,Product Core Team,Product,2023-09-13,2024-11-23,Approved,2024-11-23,1.1,Active,Senior Architect,Restricted,Policy,Git Markdown,Annual,2025-11-23
DOC-0020,emp_294,Senior Architect,DevOps Core Team,DevOps,2022-03-22,2022-07-19,Approved,2022-07-19,1.0,Active,Senior Architect,Confidential,Meeting Decision,Confluence,Annual,2023-07-19
ADR-021,emp_001,Chief Architect,Architecture Core Team,Architecture,2025-11-10,2026-01-20,Approved,2026-01-20,3.0,Active,Chief Architect,Internal,Architecture Decision Record,Git Markdown,Annual,2027-01-20
DOC-0022,emp_791,Chief Architect,Platform Core Team,Platform,2023-04-07,2023-12-08,Approved,2023-12-08,2.2,Active,Chief Architect,Restricted,Project Documentation,Confluence,Annual,2024-12-07
DOC-0023,emp_787,Senior Architect,Architecture Core Team,Architecture,2023-07-26,2025-05-03,Approved,2025-05-03,3.2,Superseded,Senior Architect,Public,Meeting Decision,Git Markdown,Annual,2026-05-03
DOC-0024,emp_478,Architecture Team,Architecture Core Team,Architecture,2021-11-20,2024-05-05,Draft,,3.2,Draft,Architecture Team,Public,Meeting Decision,Confluence,Annual,2025-05-05
DOC-0025,emp_209,Chief Architect,Platform Core Team,Platform,2021-11-15,2023-05-26,Draft,,3.1,Draft,Chief Architect,Internal,Deprecated Document,Git Markdown,Annual,2024-05-25
DOC-0026,emp_749,Chief Architect,Architecture Core Team,Architecture,2025-08-26,2026-01-14,Approved,2026-01-14,1.2,Superseded,Chief Architect,Restricted,Standard,Confluence,Annual,2027-01-14
DOC-0027,emp_807,Chief Architect,Engineering Core Team,Engineering,01/23/2024,2024-02-28,Draft,,1.1,Draft,Chief Architect,Internal,Engineering Note,Git Markdown,Annual,2025-02-27
DOC-0028,emp_462,Chief Architect,Platform Core Team,Platform,2025-12-16,2026-07-27,Rejected,,3.0,Draft,Chief Architect,Internal,Deprecated Document,Confluence,Annual,2027-07-27
DOC-0029,emp_901,Senior Engineer,Engineering Core Team,Engineering,2025-07-01,2026-06-08,Under Review,,3.0,Draft,Senior Engineer,Confidential,Standard,Git Markdown,Annual,2027-06-08
DOC-0030,emp_412,Senior Engineer,Product Core Team,Product,2022-04-02,2022-05-20,Under Review,,2.0,Draft,Senior Engineer,Restricted,Project Documentation,Confluence,Annual,2023-05-20
DOC-0031,emp_218,Architecture Board,Data Engineering Core Team,Data Engineering,2022-01-01,2025-04-04,Draft,,3.1,Superseded,Architecture Board,Restricted,Meeting Decision,Git Markdown,Annual,2026-04-04
DOC-0032,emp_360,Architecture Team,Engineering Core Team,Engineering,2024-12-22,2026-03-13,Approved,2026-03-13,3.2,Active,Architecture Team,Internal,Architecture Decision Record,Confluence,Annual,2027-03-13
DOC-0033,emp_837,Chief Architect,Data Engineering Core Team,Data Engineering,2023-11-05,2024-09-16,Rejected,,3.1,Draft,Chief Architect,Internal,Meeting Decision,Git Markdown,Annual,2025-09-16
DOC-0034,emp_515,Principal Engineer,DevOps Core Team,DevOps,2025-09-04,2025-09-04,Draft,,2.2,Draft,Principal Engineer,Restricted,Deprecated Document,Confluence,Annual,2026-09-04
DOC-0035,emp_390,Chief Architect,Security Core Team,Security,2024-09-21,2026-07-01,Draft,,1.2,Superseded,Chief Architect,Restricted,Deprecated Document,Git Markdown,Annual,2027-07-01
DOC-0036,emp_566,Chief Architect,Platform Core Team,Platform,2025-12-20,2026-05-30,Under Review,,2.1,Draft,Chief Architect,Confidential,Standard,Confluence,Annual,2027-05-30
DOC-0037,emp_324,Engineer,Product Core Team,Product,2025-07-05,2026-06-26,Rejected,,1.0,Superseded,Engineer,Confidential,Engineering Note,Git Markdown,Annual,2027-06-26
DOC-0038,emp_727,Project Notes,Data Engineering Core Team,Data Engineering,2023-05-24,2026-06-19,Rejected,,3.1,Draft,Project Notes,Confidential,Deprecated Document,Confluence,Annual,2027-06-19
DOC-0039,emp_381,Architecture Team,Product Core Team,Product,2021-06-08,2025-06-08,Draft,,2.1,Draft,Architecture Team,Public,Policy,Git Markdown,Annual,2026-06-08
DOC-0040,emp_517,Engineer,Platform Core Team,Platform,2024-01-17,2025-05-08,Rejected,,2.1,Superseded,Engineer,Public,Security Recommendation,Confluence,Annual,2026-05-08
DOC-0041,emp_871,Principal Engineer,Engineering Core Team,Engineering,10/14/2025,2026-05-16,Under Review,,2.1,Draft,Principal Engineer,Confidential,Standard,Git Markdown,Annual,2027-05-16
DOC-0042,emp_230,Project Notes,Security Core Team,Security,2023-12-30,2024-01-26,Rejected,,3.0,Draft,Project Notes,Public,Draft Document,Confluence,Annual,2025-01-25
DOC-0043,emp_435,Engineer,Engineering Core Team,Engineering,2023-07-21,2025-05-20,Draft,,2.1,Draft,Engineer,Confidential,Project Documentation,Git Markdown,Annual,2026-05-20
DOC-0044,emp_329,Senior Engineer,Data Engineering Core Team,Data Engineering,2025-05-19,2026-04-17,Approved,2026-04-17,1.0,Active,Senior Engineer,Internal,Technical Design Document,Confluence,Annual,2027-04-17
DOC-0045,emp_885,Principal Engineer,Platform Core Team,Platform,2021-12-10,2025-05-03,Approved,2025-05-03,1.1,Active,Principal Engineer,Public,Security Recommendation,Git Markdown,Annual,2026-05-03
DOC-0046,emp_177,Architecture Team,Security Core Team,Security,2024-11-15,2025-07-21,Approved,2025-07-21,2.2,Active,Architecture Team,Public,Draft Document,Confluence,Annual,2026-07-21
DOC-0047,emp_170,Senior Engineer,Data Engineering Core Team,Data Engineering,2024-08-19,2025-08-03,Approved,2025-08-03,2.0,Active,Senior Engineer,Confidential,Deprecated Document,Git Markdown,Annual,2026-08-03
DOC-0048,emp_851,Senior Architect,Platform Core Team,Platform,2026-06-01,2026-07-12,Draft,,3.1,Draft,Senior Architect,Confidential,Deprecated Document,Confluence,Annual,2027-07-12
DOC-0049,emp_385,Chief Architect,Product Core Team,Product,05/15/2022,2026-07-29,Rejected,,3.1,Draft,Chief Architect,Restricted,Policy,Git Markdown,Annual,2027-07-29
DOC-0050,emp_448,Principal Engineer,Platform Core Team,Platform,2025-12-08,2026-05-09,Draft,,3.0,Draft,Principal Engineer,Public,Meeting Decision,Confluence,Annual,2027-05-09
DOC-0051,emp_558,Project Notes,Platform Core Team,Platform,2021-07-10,2023-03-04,Under Review,,1.1,Draft,Project Notes,Restricted,Architecture Decision Record,Git Markdown,Annual,2024-03-03
DOC-0052,emp_819,Senior Engineer,Data Engineering Core Team,Data Engineering,2022-07-09,2024-03-27,Draft,,3.0,Draft,Senior Engineer,Restricted,Policy,Confluence,Annual,2025-03-27
DOC-0053,emp_841,Principal Engineer,Platform Core Team,Platform,2026-06-24,2026-07-27,Draft,,1.1,Draft,Principal Engineer,Internal,Draft Document,Git Markdown,Annual,2027-07-27
DOC-0054,emp_666,Architecture Board,Architecture Core Team,Architecture,2024-11-29,2025-04-07,Rejected,,1.2,Superseded,Architecture Board,Restricted,Meeting Decision,Confluence,Annual,2026-04-07
DOC-0055,emp_941,Chief Architect,Architecture Core Team,Architecture,2023-04-01,2026-01-02,Approved,2026-01-02,3.0,Active,Chief Architect,Internal,Technical Design Document,Git Markdown,Annual,2027-01-02
DOC-0056,emp_882,Unverified,Platform Core Team,Platform,2024-05-26,2026-01-26,Under Review,,2.1,Draft,Unverified,Confidential,Standard,Confluence,Annual,2027-01-26
DOC-0057,emp_881,Chief Architect,Data Engineering Core Team,Data Engineering,2024-07-05,2025-02-06,Draft,,1.0,Draft,Chief Architect,Internal,Project Documentation,Git Markdown,Annual,2026-02-06
DOC-0058,emp_133,Principal Engineer,DevOps Core Team,DevOps,2022-08-14,2026-07-31,Draft,,2.0,Draft,Principal Engineer,Internal,Project Documentation,Confluence,Annual,2027-07-31
DOC-0059,emp_217,Engineer,DevOps Core Team,DevOps,2022-04-06,2025-11-22,Under Review,,1.0,Draft,Engineer,Public,Deprecated Document,Git Markdown,Annual,2026-11-22
DOC-0060,emp_805,Project Notes,Security Core Team,Security,2024-12-04,2026-01-20,Draft,,2.1,Draft,Project Notes,Public,Meeting Decision,Confluence,Annual,2027-01-20
DOC-0061,emp_334,Chief Architect,Architecture Core Team,Architecture,2024-04-17,2024-05-08,Draft,,1.1,Draft,Chief Architect,Confidential,Draft Document,Git Markdown,Annual,2025-05-08
DOC-0062,emp_581,Chief Architect,DevOps Core Team,DevOps,2023-04-17,2025-02-27,Draft,,1.1,Draft,Chief Architect,Confidential,Security Recommendation,Confluence,Annual,2026-02-27
DOC-0063,emp_190,Project Notes,Product Core Team,Product,2022-06-01,2024-03-24,Approved,2024-03-24,2.2,Active,Project Notes,Public,Security Recommendation,Git Markdown,Annual,2025-03-24
DOC-0064,emp_740,Project Notes,Platform Core Team,Platform,2025-04-06,2025-05-02,Under Review,,1.1,Draft,Project Notes,Confidential,Policy,Confluence,Annual,2026-05-02
DOC-0065,emp_418,Senior Architect,Data Engineering Core Team,Data Engineering,2021-01-29,2024-03-05,Approved,2024-03-05,1.1,Active,Senior Architect,Public,Deprecated Document,Git Markdown,Annual,2025-03-05
DOC-0066,emp_954,Engineer,DevOps Core Team,DevOps,2026-07-01,2026-07-31,Under Review,,1.1,Draft,Engineer,Internal,Policy,Confluence,Annual,2027-07-31
DOC-0067,emp_448,Engineer,Engineering Core Team,Engineering,2022-07-02,2022-07-07,Draft,,3.2,Draft,Engineer,Confidential,Deprecated Document,Git Markdown,Annual,2023-07-07
DOC-0068,emp_429,Project Notes,Architecture Core Team,Architecture,2026-07-02,2026-07-24,Under Review,,1.1,Draft,Project Notes,Public,Project Documentation,Confluence,Annual,2027-07-24
DOC-0069,emp_137,Project Notes,DevOps Core Team,DevOps,10/26/2023,2026-07-10,Draft,,2.0,Draft,Project Notes,Confidential,Engineering Note,Git Markdown,Annual,2027-07-10
DOC-0070,emp_446,Principal Engineer,Engineering Core Team,Engineering,2024-11-19,2025-12-31,Approved,2025-12-31,3.2,Active,Principal Engineer,Confidential,Draft Document,Confluence,Annual,2026-12-31
DOC-0071,emp_340,Chief Architect,Data Engineering Core Team,Data Engineering,2022-04-11,2026-06-18,Approved,2026-06-18,1.2,Active,Chief Architect,Public,Meeting Decision,Git Markdown,Annual,2027-06-18
DOC-0072,emp_467,Principal Engineer,Architecture Core Team,Architecture,2023-06-02,2024-03-26,Rejected,,1.0,Draft,Principal Engineer,Internal,Security Recommendation,Confluence,Annual,2025-03-26
DOC-0073,emp_337,Senior Architect,Platform Core Team,Platform,2024-07-30,2025-04-16,Rejected,,1.1,Draft,Senior Architect,Restricted,Policy,Git Markdown,Annual,2026-04-16
DOC-0074,emp_806,Engineer,Data Engineering Core Team,Data Engineering,2023-07-25,2025-04-03,Under Review,,2.0,Draft,Engineer,Internal,Meeting Decision,Confluence,Annual,2026-04-03
DOC-0075,emp_381,Engineer,Architecture Core Team,Architecture,2024-03-05,2026-02-05,Approved,2026-02-05,3.1,Active,Engineer,Restricted,Architecture Decision Record,Git Markdown,Annual,2027-02-05
DOC-0076,emp_794,Principal Engineer,DevOps Core Team,DevOps,2024-07-10,2024-10-17,Approved,2024-10-17,2.0,Active,Principal Engineer,Restricted,Engineering Note,Confluence,Annual,2025-10-17
DOC-0077,emp_305,Senior Architect,DevOps Core Team,DevOps,2025-05-30,2026-03-02,Draft,,2.0,Draft,Senior Architect,Restricted,Engineering Note,Git Markdown,Annual,2027-03-02
DOC-0078,emp_579,Chief Architect,Product Core Team,Product,2021-10-16,2026-01-07,Under Review,,3.2,Draft,Chief Architect,Confidential,Technical Design Document,Confluence,Annual,2027-01-07
DOC-0079,emp_370,Architecture Board,Product Core Team,Product,2021-09-11,2024-03-30,Draft,,3.1,Draft,Architecture Board,Confidential,Deprecated Document,Git Markdown,Annual,2025-03-30
DOC-0080,emp_734,Architecture Board,Platform Core Team,Platform,2022-11-03,2026-04-05,Under Review,,3.1,Draft,Architecture Board,Restricted,Deprecated Document,Confluence,Annual,2027-04-05
DOC-0081,emp_199,Chief Architect,Architecture Core Team,Architecture,2025-12-23,2026-05-09,Under Review,,2.2,Draft,Chief Architect,Confidential,Project Documentation,Git Markdown,Annual,2027-05-09
DOC-0082,emp_386,Engineer,Engineering Core Team,Engineering,2024-11-14,2025-11-28,Under Review,,1.1,Draft,Engineer,Public,Architecture Decision Record,Confluence,Annual,2026-11-28
DOC-0083,emp_294,Principal Engineer,Engineering Core Team,Engineering,2026-04-28,2026-06-25,Approved,2026-06-25,3.2,Active,Principal Engineer,Public,Technical Design Document,Git Markdown,Annual,2027-06-25
DOC-0084,emp_949,Chief Architect,Data Engineering Core Team,Data Engineering,2022-03-01,2025-06-13,Under Review,,1.1,Draft,Chief Architect,Internal,Deprecated Document,Confluence,Annual,2026-06-13
DOC-0085,emp_356,Unverified,Platform Core Team,Platform,08/14/2021,2025-04-28,Approved,2025-04-28,2.0,Active,Unverified,Restricted,Engineering Note,Git Markdown,Annual,2026-04-28
DOC-0086,emp_587,Chief Architect,Security Core Team,Security,2025-05-13,2025-11-14,Approved,2025-11-14,1.2,Active,Chief Architect,Public,Policy,Confluence,Annual,2026-11-14
DOC-0087,emp_162,Architecture Board,Architecture Core Team,Architecture,2025-10-02,2026-04-25,Rejected,,2.2,Draft,Architecture Board,Confidential,Policy,Git Markdown,Annual,2027-04-25
DOC-0088,emp_739,Principal Engineer,Engineering Core Team,Engineering,2024-01-29,2026-01-27,Draft,,3.2,Draft,Principal Engineer,Restricted,Draft Document,Confluence,Annual,2027-01-27
DOC-0089,emp_838,Unverified,DevOps Core Team,DevOps,2023-05-31,2025-12-10,Under Review,,2.1,Draft,Unverified,Confidential,Project Documentation,Git Markdown,Annual,2026-12-10
DOC-0090,emp_803,Senior Architect,Architecture Core Team,Architecture,2021-05-18,2021-11-20,Approved,2021-11-20,1.2,Superseded,Senior Architect,Restricted,Policy,Confluence,Annual,2022-11-20
DOC-0091,emp_520,Chief Architect,Data Engineering Core Team,Data Engineering,2025-11-25,2026-05-14,Rejected,,3.0,Draft,Chief Architect,Restricted,Security Recommendation,Git Markdown,Annual,2027-05-14
DOC-0092,emp_329,Project Notes,Platform Core Team,Platform,2022-12-19,2026-01-31,Draft,,2.2,Superseded,Project Notes,Internal,Technical Design Document,Confluence,Annual,2027-01-31
DOC-0093,emp_129,Principal Engineer,DevOps Core Team,DevOps,2022-07-14,2026-06-22,Draft,,2.0,Draft,Principal Engineer,Internal,Engineering Note,Git Markdown,Annual,2027-06-22
DOC-0094,emp_864,Chief Architect,Platform Core Team,Platform,2022-03-17,2024-04-25,Rejected,,1.1,Draft,Chief Architect,Restricted,Deprecated Document,Confluence,Annual,2025-04-25
DOC-0095,emp_261,Senior Architect,Engineering Core Team,Engineering,2021-04-12,2025-01-21,Approved,2025-01-21,3.1,Active,Senior Architect,Confidential,Draft Document,Git Markdown,Annual,2026-01-21
DOC-0096,emp_540,Senior Engineer,Data Engineering Core Team,Data Engineering,2022-08-04,2026-05-23,Rejected,,2.0,Draft,Senior Engineer,Internal,Technical Design Document,Confluence,Annual,2027-05-23
DOC-0097,emp_882,Senior Architect,Architecture Core Team,Architecture,2022-08-16,2024-06-17,Approved,2024-06-17,2.0,Active,Senior Architect,Internal,Meeting Decision,Git Markdown,Annual,2025-06-17
DOC-0098,emp_506,Chief Architect,Product Core Team,Product,2023-06-13,2023-07-21,Rejected,,2.2,Draft,Chief Architect,Confidential,Architecture Decision Record,Confluence,Annual,2024-07-20
DOC-0099,emp_432,Architecture Board,Engineering Core Team,Engineering,2025-06-30,2026-05-12,Rejected,,2.0,Draft,Architecture Board,Confidential,Engineering Note,Git Markdown,Annual,2027-05-12
DOC-0100,emp_991,Engineer,Data Engineering Core Team,Data Engineering,2025-03-08,2026-02-18,Under Review,,1.0,Draft,Engineer,Public,Meeting Decision,Confluence,Annual,2027-02-18
DOC-0101,emp_205,Architecture Team,DevOps Core Team,DevOps,2022-06-09,2023-07-18,Under Review,,3.0,Draft,Architecture Team,Internal,Engineering Note,Git Markdown,Annual,2024-07-17
DOC-0102,emp_984,Senior Engineer,Data Engineering Core Team,Data Engineering,2021-11-06,2024-04-24,Approved,2024-04-24,3.1,Active,Senior Engineer,Restricted,Security Recommendation,Confluence,Annual,2025-04-24
DOC-0103,emp_158,Architecture Board,Security Core Team,Security,2025-08-31,2026-01-24,Approved,2026-01-24,3.1,Active,Architecture Board,Confidential,Security Recommendation,Git Markdown,Annual,2027-01-24
DOC-0104,emp_719,Senior Engineer,Product Core Team,Product,2023-10-24,2024-03-26,Approved,2024-03-26,2.2,Active,Senior Engineer,Public,Policy,Confluence,Annual,2025-03-26
DOC-0105,emp_635,Unverified,Security Core Team,Security,2021-11-22,2023-12-07,Draft,,2.1,Draft,Unverified,Restricted,Draft Document,Git Markdown,Annual,2024-12-06
DOC-0106,emp_196,Senior Engineer,Architecture Core Team,Architecture,2024-10-21,2025-11-20,Draft,,3.2,Draft,Senior Engineer,Internal,Deprecated Document,Confluence,Annual,2026-11-20
DOC-0107,emp_709,Senior Architect,Architecture Core Team,Architecture,2022-09-27,2025-11-14,Rejected,,2.0,Draft,Senior Architect,Public,Technical Design Document,Git Markdown,Annual,2026-11-14
DOC-0108,emp_319,Senior Architect,Architecture Core Team,Architecture,2026-04-25,2026-08-01,Rejected,,1.0,Draft,Senior Architect,Public,Security Recommendation,Confluence,Annual,2027-08-01
DOC-0109,emp_997,Senior Engineer,Data Engineering Core Team,Data Engineering,2021-09-26,2025-01-31,Rejected,,1.2,Draft,Senior Engineer,Internal,Draft Document,Git Markdown,Annual,2026-01-31
DOC-0110,emp_725,Project Notes,DevOps Core Team,DevOps,2025-03-21,2026-04-08,Rejected,,1.1,Draft,Project Notes,Confidential,Meeting Decision,Confluence,Annual,2027-04-08
DOC-0111,emp_896,Principal Engineer,Security Core Team,Security,2023-10-27,2025-04-19,Rejected,,1.2,Draft,Principal Engineer,Internal,Standard,Git Markdown,Annual,2026-04-19
DOC-0112,emp_971,Unverified,Architecture Core Team,Architecture,2022-08-07,2023-01-25,Under Review,,3.0,Draft,Unverified,Confidential,Technical Design Document,Confluence,Annual,2024-01-25
DOC-0113,emp_505,Architecture Board,Engineering Core Team,Engineering,2023-02-05,2024-06-01,Rejected,,2.0,Draft,Architecture Board,Public,Deprecated Document,Git Markdown,Annual,2025-06-01
DOC-0114,emp_139,Senior Architect,Product Core Team,Product,2026-02-22,2026-06-22,Under Review,,2.1,Draft,Senior Architect,Public,Meeting Decision,Confluence,Annual,2027-06-22
DOC-0115,emp_894,Chief Architect,Platform Core Team,Platform,2022-05-02,2024-01-08,Approved,2024-01-08,2.2,Superseded,Chief Architect,Confidential,Meeting Decision,Git Markdown,Annual,2025-01-07
DOC-0116,emp_688,Unverified,Data Engineering Core Team,Data Engineering,2025-01-11,2025-06-07,Draft,,3.1,Draft,Unverified,Internal,Project Documentation,Confluence,Annual,2026-06-07
DOC-0117,emp_638,Chief Architect,Data Engineering Core Team,Data Engineering,2023-11-06,2026-01-19,Approved,2026-01-19,2.0,Active,Chief Architect,Confidential,Deprecated Document,Git Markdown,Annual,2027-01-19
DOC-0118,emp_346,Senior Engineer,Product Core Team,Product,2025-04-30,2026-02-21,Under Review,,3.1,Superseded,Senior Engineer,Internal,Technical Design Document,Confluence,Annual,2027-02-21
DOC-0119,emp_833,Chief Architect,Platform Core Team,Platform,2021-03-17,2022-11-07,Under Review,,1.0,Superseded,Chief Architect,Restricted,Policy,Git Markdown,Annual,2023-11-07
DOC-0120,emp_392,Architecture Team,Architecture Core Team,Architecture,2025-11-01,2025-11-25,Draft,,2.1,Draft,Architecture Team,Confidential,Security Recommendation,Confluence,Annual,2026-11-25
DOC-0121,emp_476,Project Notes,Platform Core Team,Platform,2022-07-01,2022-12-17,Rejected,,3.0,Superseded,Project Notes,Restricted,Deprecated Document,Git Markdown,Annual,2023-12-17
DOC-0122,emp_270,Engineer,Architecture Core Team,Architecture,2022-12-21,2025-06-23,Approved,2025-06-23,2.2,Active,Engineer,Confidential,Policy,Confluence,Annual,2026-06-23
DOC-0123,emp_625,Senior Engineer,DevOps Core Team,DevOps,2026-05-06,2026-05-09,Under Review,,3.1,Draft,Senior Engineer,Public,Engineering Note,Git Markdown,Annual,2027-05-09
DOC-0124,emp_719,Architecture Board,Architecture Core Team,Architecture,2024-10-22,2026-01-25,Draft,,1.2,Draft,Architecture Board,Internal,Engineering Note,Confluence,Annual,2027-01-25
DOC-0125,emp_853,Architecture Board,Platform Core Team,Platform,2023-10-20,2025-04-02,Rejected,,1.1,Draft,Architecture Board,Restricted,Engineering Note,Git Markdown,Annual,2026-04-02
DOC-0126,emp_225,Architecture Team,DevOps Core Team,DevOps,2025-10-13,2025-11-19,Rejected,,3.1,Draft,Architecture Team,Public,Engineering Note,Confluence,Annual,2026-11-19
DOC-0127,emp_655,Unverified,Architecture Core Team,Architecture,2025-12-31,2026-03-17,Under Review,,3.2,Draft,Unverified,Internal,Meeting Decision,Git Markdown,Annual,2027-03-17
DOC-0128,emp_909,Architecture Team,Product Core Team,Product,2021-02-23,2023-03-04,Draft,,3.0,Draft,Architecture Team,Public,Policy,Confluence,Annual,2024-03-03
DOC-0129,emp_228,Chief Architect,Security Core Team,Security,2024-08-08,2024-10-22,Rejected,,3.1,Draft,Chief Architect,Internal,Security Recommendation,Git Markdown,Annual,2025-10-22
DOC-0130,emp_614,Engineer,Platform Core Team,Platform,2025-08-30,2025-11-01,Under Review,,1.1,Draft,Engineer,Internal,Architecture Decision Record,Confluence,Annual,2026-11-01
DOC-0131,emp_750,Architecture Team,Engineering Core Team,Engineering,2022-07-17,2023-03-30,Draft,,1.2,Draft,Architecture Team,Internal,Deprecated Document,Git Markdown,Annual,2024-03-29
DOC-0132,emp_945,Architecture Board,Data Engineering Core Team,Data Engineering,2021-06-16,2021-09-17,Draft,,3.1,Draft,Architecture Board,Public,Architecture Decision Record,Confluence,Annual,2022-09-17
DOC-0133,emp_924,Architecture Team,Architecture Core Team,Architecture,2022-09-02,2025-03-18,Approved,2025-03-18,1.1,Active,Architecture Team,Confidential,Standard,Git Markdown,Annual,2026-03-18
DOC-0134,emp_508,Senior Engineer,Architecture Core Team,Architecture,2025-04-07,2025-10-13,Approved,2025-10-13,2.0,Active,Senior Engineer,Restricted,Engineering Note,Confluence,Annual,2026-10-13
DOC-0135,emp_986,Architecture Team,Security Core Team,Security,2025-07-25,2026-01-08,Draft,,1.1,Draft,Architecture Team,Confidential,Engineering Note,Git Markdown,Annual,2027-01-08
DOC-0136,emp_320,Architecture Team,Security Core Team,Security,2022-12-24,2023-04-02,Draft,,3.2,Draft,Architecture Team,Confidential,Draft Document,Confluence,Annual,2024-04-01
DOC-0137,emp_882,Senior Engineer,Platform Core Team,Platform,2023-01-20,2023-04-22,Rejected,,3.0,Superseded,Senior Engineer,Restricted,Standard,Git Markdown,Annual,2024-04-21
DOC-0138,emp_231,Chief Architect,Product Core Team,Product,2023-03-18,2025-04-20,Draft,,2.0,Draft,Chief Architect,Internal,Technical Design Document,Confluence,Annual,2026-04-20
DOC-0139,emp_923,Senior Engineer,Engineering Core Team,Engineering,2023-11-30,2025-03-11,Under Review,,3.0,Draft,Senior Engineer,Restricted,Policy,Git Markdown,Annual,2026-03-11
DOC-0140,emp_619,Senior Engineer,DevOps Core Team,DevOps,2023-12-27,2025-05-11,Draft,,1.1,Draft,Senior Engineer,Restricted,Deprecated Document,Confluence,Annual,2026-05-11
DOC-0141,emp_371,Project Notes,Product Core Team,Product,2024-03-28,2024-11-16,Approved,2024-11-16,1.2,Active,Project Notes,Confidential,Draft Document,Git Markdown,Annual,2025-11-16
DOC-0142,emp_119,Architecture Team,DevOps Core Team,DevOps,2022-10-05,2025-02-08,Under Review,,1.1,Draft,Architecture Team,Confidential,Policy,Confluence,Annual,2026-02-08
DOC-0143,emp_432,Unverified,Platform Core Team,Platform,2023-12-13,2025-01-01,Draft,,2.2,Draft,Unverified,Restricted,Policy,Git Markdown,Annual,2026-01-01
DOC-0144,emp_296,Project Notes,Product Core Team,Product,2022-07-26,2025-09-10,Draft,,2.1,Draft,Project Notes,Internal,Project Documentation,Confluence,Annual,2026-09-10
