citation_id,document_id,cited_document_id,citation_type,citation_context,citation_date
CIT-00093,DOC-0078,DOC-0569,References,DOC-0078 references architectural principles defined in DOC-0569.,2021-10-16
CIT-00094,DOC-0078,DOC-0349,References,DOC-0078 references architectural principles defined in DOC-0349.,2021-10-16
CIT-00095,DOC-0080,DOC-0924,References,DOC-0080 references architectural principles defined in DOC-0924.,2022-11-03
CIT-00096,DOC-0080,DOC-0131,References,DOC-0080 references architectural principles defined in DOC-0131.,2022-11-03
CIT-00097,DOC-0088,DOC-0912,References,DOC-0088 references architectural principles defined in DOC-0912.,2024-01-29
CIT-00098,DOC-0088,DOC-0020,References,DOC-0088 references architectural principles defined in DOC-0020.,2024-01-29
CIT-00099,DOC-0088,DOC-0321,References,DOC-0088 references architectural principles defined in DOC-0321.,2024-01-29
CIT-00100,DOC-0088,DOC-0524,References,DOC-0088 references architectural principles defined in DOC-0524.,2024-01-29
CIT-00101,DOC-0090,DOC-0639,References,DOC-0090 references architectural principles defined in DOC-0639.,2021-05-18
CIT-00102,DOC-0090,DOC-0330,References,DOC-0090 references architectural principles defined in DOC-0330.,2021-05-18
CIT-00103,DOC-0091,DOC-0474,References,DOC-0091 references architectural principles defined in DOC-0474.,2025-11-25
CIT-00104,DOC-0091,DOC-0618,References,DOC-0091 references architectural principles defined in DOC-0618.,2025-11-25
CIT-00105,DOC-0091,DOC-0923,References,DOC-0091 references architectural principles defined in DOC-0923.,2025-11-25
CIT-00106,DOC-0091,DOC-0913,References,DOC-0091 references architectural principles defined in DOC-0913.,2025-11-25
CIT-00107,DOC-0094,DOC-0797,References,DOC-0094 references architectural principles defined in DOC-0797.,2022-03-17
CIT-00108,DOC-0094,DOC-0198,References,DOC-0094 references architectural principles defined in DOC-0198.,2022-03-17
CIT-00109,DOC-0094,DOC-0811,References,DOC-0094 references architectural principles defined in DOC-0811.,2022-03-17
CIT-00110,DOC-0094,DOC-0789,References,DOC-0094 references architectural principles defined in DOC-0789.,2022-03-17
CIT-00111,DOC-0095,DOC-0373,References,DOC-0095 references architectural principles defined in DOC-0373.,2021-04-12
CIT-00112,DOC-0095,DOC-0869,References,DOC-0095 references architectural principles defined in DOC-0869.,2021-04-12
CIT-00113,DOC-0098,DOC-0336,References,DOC-0098 references architectural principles defined in DOC-0336.,2023-06-13
CIT-00114,DOC-0099,DOC-0576,References,DOC-0099 references architectural principles defined in DOC-0576.,2025-06-30
CIT-00115,DOC-0099,DOC-0150,References,DOC-0099 references architectural principles defined in DOC-0150.,2025-06-30
CIT-00116,DOC-0099,DOC-0803,References,DOC-0099 references architectural principles defined in DOC-0803.,2025-06-30
CIT-00117,DOC-0099,DOC-0280,References,DOC-0099 references architectural principles defined in DOC-0280.,2025-06-30
CIT-00118,DOC-0102,DOC-0844,References,DOC-0102 references architectural principles defined in DOC-0844.,2021-11-06
CIT-00119,DOC-0102,DOC-0831,References,DOC-0102 references architectural principles defined in DOC-0831.,2021-11-06
CIT-00120,DOC-0106,DOC-0754,References,DOC-0106 references architectural principles defined in DOC-0754.,2024-10-21
CIT-00121,DOC-0110,DOC-0434,References,DOC-0110 references architectural principles defined in DOC-0434.,2025-03-21
CIT-00122,DOC-0110,DOC-0718,References,DOC-0110 references architectural principles defined in DOC-0718.,2025-03-21
CIT-00123,DOC-0110,DOC-0839,References,DOC-0110 references architectural principles defined in DOC-0839.,2025-03-21
CIT-00124,DOC-0110,DOC-0874,References,DOC-0110 references architectural principles defined in DOC-0874.,2025-03-21
CIT-00125,DOC-0111,DOC-0210,References,DOC-0111 references architectural principles defined in DOC-0210.,2023-10-27
CIT-00126,DOC-0111,DOC-0148,References,DOC-0111 references architectural principles defined in DOC-0148.,2023-10-27
CIT-00127,DOC-0111,DOC-0304,References,DOC-0111 references architectural principles defined in DOC-0304.,2023-10-27
CIT-00128,DOC-0112,DOC-0081,References,DOC-0112 references architectural principles defined in DOC-0081.,2022-08-07
CIT-00129,DOC-0112,DOC-0378,References,DOC-0112 references architectural principles defined in DOC-0378.,2022-08-07
CIT-00130,DOC-0112,DOC-0477,References,DOC-0112 references architectural principles defined in DOC-0477.,2022-08-07
CIT-00131,DOC-0112,DOC-0795,References,DOC-0112 references architectural principles defined in DOC-0795.,2022-08-07
CIT-00132,DOC-0114,DOC-0569,References,DOC-0114 references architectural principles defined in DOC-0569.,2026-02-22
CIT-00133,DOC-0114,DOC-0161,References,DOC-0114 references architectural principles defined in DOC-0161.,2026-02-22
CIT-00134,DOC-0114,DOC-0609,References,DOC-0114 references architectural principles defined in DOC-0609.,2026-02-22
CIT-00135,DOC-0114,DOC-0455,References,DOC-0114 references architectural principles defined in DOC-0455.,2026-02-22
CIT-00136,DOC-0116,DOC-0467,References,DOC-0116 references architectural principles defined in DOC-0467.,2025-01-11
CIT-00137,DOC-0116,DOC-0283,References,DOC-0116 references architectural principles defined in DOC-0283.,2025-01-11
CIT-00138,DOC-0116,DOC-0203,References,DOC-0116 references architectural principles defined in DOC-0203.,2025-01-11
CIT-00139,DOC-0119,DOC-0331,References,DOC-0119 references architectural principles defined in DOC-0331.,2021-03-17
CIT-00140,DOC-0119,DOC-0980,References,DOC-0119 references architectural principles defined in DOC-0980.,2021-03-17
CIT-00141,DOC-0120,DOC-0889,References,DOC-0120 references architectural principles defined in DOC-0889.,2025-11-01
CIT-00142,DOC-0121,DOC-0378,References,DOC-0121 references architectural principles defined in DOC-0378.,2022-07-01
CIT-00143,DOC-0121,DOC-0146,References,DOC-0121 references architectural principles defined in DOC-0146.,2022-07-01
CIT-00144,DOC-0121,DOC-0323,References,DOC-0121 references architectural principles defined in DOC-0323.,2022-07-01
CIT-00145,DOC-0121,DOC-0852,References,DOC-0121 references architectural principles defined in DOC-0852.,2022-07-01
CIT-00146,DOC-0126,DOC-0628,References,DOC-0126 references architectural principles defined in DOC-0628.,2025-10-13
CIT-00147,DOC-0126,DOC-0857,References,DOC-0126 references architectural principles defined in DOC-0857.,2025-10-13
CIT-00148,DOC-0126,DOC-0779,References,DOC-0126 references architectural principles defined in DOC-0779.,2025-10-13
CIT-00149,DOC-0127,DOC-0332,References,DOC-0127 references architectural principles defined in DOC-0332.,2025-12-31
CIT-00150,DOC-0127,DOC-0580,References,DOC-0127 references architectural principles defined in DOC-0580.,2025-12-31
CIT-00151,DOC-0127,DOC-0775,References,DOC-0127 references architectural principles defined in DOC-0775.,2025-12-31
CIT-00152,DOC-0130,DOC-0509,References,DOC-0130 references architectural principles defined in DOC-0509.,2025-08-30
CIT-00153,DOC-0130,DOC-0066,References,DOC-0130 references architectural principles defined in DOC-0066.,2025-08-30
CIT-00154,DOC-0132,DOC-0536,References,DOC-0132 references architectural principles defined in DOC-0536.,2021-06-16
CIT-00155,DOC-0133,DOC-0095,References,DOC-0133 references architectural principles defined in DOC-0095.,2022-09-02
CIT-00156,DOC-0133,DOC-0773,References,DOC-0133 references architectural principles defined in DOC-0773.,2022-09-02
CIT-00157,DOC-0134,DOC-0347,References,DOC-0134 references architectural principles defined in DOC-0347.,2025-04-07
CIT-00158,DOC-0134,DOC-0084,References,DOC-0134 references architectural principles defined in DOC-0084.,2025-04-07
CIT-00159,DOC-0134,DOC-0423,References,DOC-0134 references architectural principles defined in DOC-0423.,2025-04-07
CIT-00160,DOC-0135,DOC-0505,References,DOC-0135 references architectural principles defined in DOC-0505.,2025-07-25
CIT-00161,DOC-0137,DOC-0658,References,DOC-0137 references architectural principles defined in DOC-0658.,2023-01-20
CIT-00162,DOC-0137,DOC-0809,References,DOC-0137 references architectural principles defined in DOC-0809.,2023-01-20
CIT-00163,DOC-0137,DOC-0406,References,DOC-0137 references architectural principles defined in DOC-0406.,2023-01-20
CIT-00164,DOC-0137,DOC-0712,References,DOC-0137 references architectural principles defined in DOC-0712.,2023-01-20
CIT-00165,DOC-0138,DOC-0834,References,DOC-0138 references architectural principles defined in DOC-0834.,2023-03-18
CIT-00166,DOC-0139,DOC-0119,References,DOC-0139 references architectural principles defined in DOC-0119.,2023-11-30
CIT-00167,DOC-0139,DOC-0782,References,DOC-0139 references architectural principles defined in DOC-0782.,2023-11-30
CIT-00168,DOC-0141,DOC-0058,References,DOC-0141 references architectural principles defined in DOC-0058.,2024-03-28
CIT-00169,DOC-0141,DOC-0661,References,DOC-0141 references architectural principles defined in DOC-0661.,2024-03-28
CIT-00170,DOC-0143,DOC-0491,References,DOC-0143 references architectural principles defined in DOC-0491.,2023-12-13
CIT-00171,DOC-0143,DOC-0044,References,DOC-0143 references architectural principles defined in DOC-0044.,2023-12-13
CIT-00172,DOC-0144,DOC-0973,References,DOC-0144 references architectural principles defined in DOC-0973.,2022-07-26
CIT-00173,DOC-0144,DOC-0157,References,DOC-0144 references architectural principles defined in DOC-0157.,2022-07-26
CIT-00174,DOC-0146,DOC-0331,References,DOC-0146 references architectural principles defined in DOC-0331.,2025-08-23
CIT-00175,DOC-0146,DOC-0397,References,DOC-0146 references architectural principles defined in DOC-0397.,2025-08-23
CIT-00176,DOC-0146,DOC-0775,References,DOC-0146 references architectural principles defined in DOC-0775.,2025-08-23
CIT-00177,DOC-0148,DOC-0505,References,DOC-0148 references architectural principles defined in DOC-0505.,2024-08-15
CIT-00178,DOC-0148,DOC-0025,References,DOC-0148 references architectural principles defined in DOC-0025.,2024-08-15
CIT-00179,DOC-0148,DOC-0686,References,DOC-0148 references architectural principles defined in DOC-0686.,2024-08-15
CIT-00180,DOC-0151,DOC-0604,References,DOC-0151 references architectural principles defined in DOC-0604.,2025-08-21
CIT-00181,DOC-0151,DOC-0037,References,DOC-0151 references architectural principles defined in DOC-0037.,2025-08-21
CIT-00182,DOC-0152,DOC-0008,References,DOC-0152 references architectural principles defined in DOC-0008.,2026-05-08
CIT-00183,DOC-0152,DOC-0358,References,DOC-0152 references architectural principles defined in DOC-0358.,2026-05-08
CIT-00184,DOC-0152,DOC-0719,References,DOC-0152 references architectural principles defined in DOC-0719.,2026-05-08
CIT-00185,DOC-0152,DOC-0083,References,DOC-0152 references architectural principles defined in DOC-0083.,2026-05-08
CIT-00186,DOC-0154,DOC-0407,References,DOC-0154 references architectural principles defined in DOC-0407.,2026-02-13
CIT-00187,DOC-0154,DOC-0218,References,DOC-0154 references architectural principles defined in DOC-0218.,2026-02-13
CIT-00188,DOC-0155,DOC-0938,References,DOC-0155 references architectural principles defined in DOC-0938.,2026-01-24
CIT-00189,DOC-0158,DOC-0524,References,DOC-0158 references architectural principles defined in DOC-0524.,2025-04-18
CIT-00190,DOC-0158,DOC-0398,References,DOC-0158 references architectural principles defined in DOC-0398.,2025-04-18
CIT-00191,DOC-0158,DOC-0164,References,DOC-0158 references architectural principles defined in DOC-0164.,2025-04-18
CIT-00192,DOC-0161,DOC-0335,References,DOC-0161 references architectural principles defined in DOC-0335.,2024-05-01
CIT-00193,DOC-0161,DOC-0920,References,DOC-0161 references architectural principles defined in DOC-0920.,2024-05-01
CIT-00194,DOC-0162,DOC-0667,References,DOC-0162 references architectural principles defined in DOC-0667.,2022-04-25
CIT-00195,DOC-0163,DOC-0457,References,DOC-0163 references architectural principles defined in DOC-0457.,02/15/2024
CIT-00196,DOC-0168,DOC-0397,References,DOC-0168 references architectural principles defined in DOC-0397.,2022-09-24
CIT-00197,DOC-0172,DOC-0853,References,DOC-0172 references architectural principles defined in DOC-0853.,02/13/2026
CIT-00198,DOC-0172,DOC-0707,References,DOC-0172 references architectural principles defined in DOC-0707.,02/13/2026
CIT-00199,DOC-0172,DOC-0691,References,DOC-0172 references architectural principles defined in DOC-0691.,02/13/2026
CIT-00200,DOC-0173,DOC-0370,References,DOC-0173 references architectural principles defined in DOC-0370.,2025-07-10
CIT-00201,DOC-0173,DOC-0475,References,DOC-0173 references architectural principles defined in DOC-0475.,2025-07-10
CIT-00202,DOC-0173,DOC-0056,References,DOC-0173 references architectural principles defined in DOC-0056.,2025-07-10
CIT-00203,DOC-0175,DOC-0223,References,DOC-0175 references architectural principles defined in DOC-0223.,2025-09-28
CIT-00204,DOC-0175,DOC-0524,References,DOC-0175 references architectural principles defined in DOC-0524.,2025-09-28
CIT-00205,DOC-0175,DOC-0025,References,DOC-0175 references architectural principles defined in DOC-0025.,2025-09-28
CIT-00206,DOC-0176,DOC-0850,References,DOC-0176 references architectural principles defined in DOC-0850.,2026-01-16
CIT-00207,DOC-0176,DOC-0186,References,DOC-0176 references architectural principles defined in DOC-0186.,2026-01-16
CIT-00208,DOC-0178,DOC-0738,References,DOC-0178 references architectural principles defined in DOC-0738.,2025-04-24
CIT-00209,DOC-0178,DOC-0336,References,DOC-0178 references architectural principles defined in DOC-0336.,2025-04-24
CIT-00210,DOC-0178,DOC-0469,References,DOC-0178 references architectural principles defined in DOC-0469.,2025-04-24
CIT-00211,DOC-0178,DOC-0401,References,DOC-0178 references architectural principles defined in DOC-0401.,2025-04-24
CIT-00212,DOC-0180,DOC-0492,References,DOC-0180 references architectural principles defined in DOC-0492.,2021-07-07
CIT-00213,DOC-0180,DOC-0575,References,DOC-0180 references architectural principles defined in DOC-0575.,2021-07-07
CIT-00214,DOC-0180,DOC-0612,References,DOC-0180 references architectural principles defined in DOC-0612.,2021-07-07
CIT-00215,DOC-0180,DOC-0293,References,DOC-0180 references architectural principles defined in DOC-0293.,2021-07-07
CIT-00216,DOC-0184,DOC-0906,References,DOC-0184 references architectural principles defined in DOC-0906.,2025-07-29
CIT-00217,DOC-0185,DOC-0635,References,DOC-0185 references architectural principles defined in DOC-0635.,2022-07-29
CIT-00218,DOC-0186,DOC-0970,References,DOC-0186 references architectural principles defined in DOC-0970.,2025-08-05
CIT-00219,DOC-0187,DOC-0311,References,DOC-0187 references architectural principles defined in DOC-0311.,2026-03-07
CIT-00220,DOC-0191,DOC-0221,References,DOC-0191 references architectural principles defined in DOC-0221.,2026-03-20
CIT-00221,DOC-0191,DOC-0662,References,DOC-0191 references architectural principles defined in DOC-0662.,2026-03-20
CIT-00222,DOC-0191,DOC-0196,References,DOC-0191 references architectural principles defined in DOC-0196.,2026-03-20
CIT-00223,DOC-0194,DOC-0428,References,DOC-0194 references architectural principles defined in DOC-0428.,2026-02-25
CIT-00224,DOC-0194,DOC-0670,References,DOC-0194 references architectural principles defined in DOC-0670.,2026-02-25
CIT-00225,DOC-0194,DOC-0023,References,DOC-0194 references architectural principles defined in DOC-0023.,2026-02-25
CIT-00226,DOC-0195,DOC-0921,References,DOC-0195 references architectural principles defined in DOC-0921.,2023-05-17
CIT-00227,DOC-0196,DOC-0270,References,DOC-0196 references architectural principles defined in DOC-0270.,2026-05-04
CIT-00228,DOC-0196,DOC-0468,References,DOC-0196 references architectural principles defined in DOC-0468.,2026-05-04
CIT-00229,DOC-0200,DOC-0902,References,DOC-0200 references architectural principles defined in DOC-0902.,2025-05-27
CIT-00230,DOC-0203,DOC-0743,References,DOC-0203 references architectural principles defined in DOC-0743.,2022-11-02
CIT-00231,DOC-0204,DOC-0277,References,DOC-0204 references architectural principles defined in DOC-0277.,2025-08-24
CIT-00232,DOC-0204,DOC-0024,References,DOC-0204 references architectural principles defined in DOC-0024.,2025-08-24
CIT-00233,DOC-0204,DOC-0720,References,DOC-0204 references architectural principles defined in DOC-0720.,2025-08-24
CIT-00234,DOC-0206,DOC-0221,References,DOC-0206 references architectural principles defined in DOC-0221.,2024-09-22
CIT-00235,DOC-0206,DOC-0067,References,DOC-0206 references architectural principles defined in DOC-0067.,2024-09-22
CIT-00236,DOC-0207,DOC-0031,References,DOC-0207 references architectural principles defined in DOC-0031.,2022-04-09
CIT-00237,DOC-0207,DOC-0039,References,DOC-0207 references architectural principles defined in DOC-0039.,2022-04-09
CIT-00238,DOC-0207,DOC-0510,References,DOC-0207 references architectural principles defined in DOC-0510.,2022-04-09
CIT-00239,DOC-0207,DOC-0443,References,DOC-0207 references architectural principles defined in DOC-0443.,2022-04-09
CIT-00240,DOC-0212,DOC-0983,References,DOC-0212 references architectural principles defined in DOC-0983.,05/12/2023
CIT-00241,DOC-0214,DOC-0737,References,DOC-0214 references architectural principles defined in DOC-0737.,2024-04-16
CIT-00242,DOC-0214,DOC-0491,References,DOC-0214 references architectural principles defined in DOC-0491.,2024-04-16
CIT-00243,DOC-0214,DOC-0208,References,DOC-0214 references architectural principles defined in DOC-0208.,2024-04-16
CIT-00244,DOC-0216,DOC-0987,References,DOC-0216 references architectural principles defined in DOC-0987.,2025-04-29
CIT-00245,DOC-0216,DOC-0893,References,DOC-0216 references architectural principles defined in DOC-0893.,2025-04-29
CIT-00246,DOC-0216,DOC-0193,References,DOC-0216 references architectural principles defined in DOC-0193.,2025-04-29
CIT-00247,DOC-0217,DOC-0830,References,DOC-0217 references architectural principles defined in DOC-0830.,2023-10-21
CIT-00248,DOC-0217,ADR-002,References,DOC-0217 references architectural principles defined in ADR-002.,2023-10-21
CIT-00249,DOC-0217,DOC-0666,References,DOC-0217 references architectural principles defined in DOC-0666.,2023-10-21
CIT-00250,DOC-0217,DOC-0046,References,DOC-0217 references architectural principles defined in DOC-0046.,2023-10-21
CIT-00251,DOC-0223,DOC-0294,References,DOC-0223 references architectural principles defined in DOC-0294.,2024-04-04
CIT-00252,DOC-0224,DOC-0468,References,DOC-0224 references architectural principles defined in DOC-0468.,2022-10-14
CIT-00253,DOC-0224,DOC-0841,References,DOC-0224 references architectural principles defined in DOC-0841.,2022-10-14
CIT-00254,DOC-0224,DOC-0484,References,DOC-0224 references architectural principles defined in DOC-0484.,2022-10-14
CIT-00255,DOC-0226,DOC-0744,References,DOC-0226 references architectural principles defined in DOC-0744.,2026-06-07
CIT-00256,DOC-0226,DOC-0565,References,DOC-0226 references architectural principles defined in DOC-0565.,2026-06-07
CIT-00257,DOC-0226,DOC-0554,References,DOC-0226 references architectural principles defined in DOC-0554.,2026-06-07
CIT-00258,DOC-0227,DOC-0417,References,DOC-0227 references architectural principles defined in DOC-0417.,2025-07-05
