document_id,title,document_type,topic,content,summary,department,project,system,technology,author_id,author_role,created_date,updated_date,status,approval_status,version,is_current,is_superseded,supersedes_document_id,authority_level,confidentiality_level,owner_team,source_type,url_or_reference,language
DOC-0019,Policy: Databases Guidelines for Project Alpha,Policy,databases,"Title: Policy for Project Alpha
Department: Product

CockroachDB is selected for multi-region distributed SQL storage for Project Alpha.",Comprehensive architecture guidelines covering databases within Project Alpha.,Product,Project Alpha,User Portal,CockroachDB,emp_516,Senior Architect,2023-09-13,2024-11-23,Active,Approved,1.1,True,False,,Senior Architect,Restricted,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0019,en
DOC-0020,Meeting Decision: Logging Guidelines for Project Delta,Meeting Decision,logging,Technical assessment and standard guidelines regarding logging implementation for Project Delta system Inventory System.,Comprehensive architecture guidelines covering logging within Project Delta.,DevOps,Project Delta,Inventory System,Logging,emp_294,Senior Architect,2022-03-22,2022-07-19,Active,Approved,1.0,True,False,,Senior Architect,Confidential,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0020,en
ADR-021,ADR-021: Database Choice and Standardization for Project Alpha,Architecture Decision Record,databases,"Decision: PostgreSQL 15 is the approved database choice and ACID compliant enterprise relational storage platform for Project Alpha. This document supersedes ADR-001 (MySQL). PostgreSQL provides ACID compliance, geospatial extensions, and JSONB document support required for future scaling.",Approved Architecture Decision Record selecting PostgreSQL 15 as the approved database choice and ACID compliant enterprise relational storage platform for Project Alpha.,Architecture,Project Alpha,Payment Gateway,PostgreSQL,emp_001,Chief Architect,2025-11-10,2026-01-20,Active,Approved,3.0,True,False,ADR-001,Chief Architect,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/ADR-021,en
DOC-0022,Project Documentation: Authentication Guidelines for Enterprise Gateway,Project Documentation,authentication,"Title: Project Documentation for Enterprise Gateway
Department: Platform

JWT tokens signed with RS256 algorithm are required for microservice-to-microservice auth in Enterprise Gateway.",Comprehensive architecture guidelines covering authentication within Enterprise Gateway.,Platform,Enterprise Gateway,Payment Gateway,JWT RS256,emp_791,Chief Architect,2023-04-07,2023-12-08,Active,Approved,2.2,True,False,,Chief Architect,Restricted,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0022,en
DOC-0023,Meeting Decision: Monitoring Guidelines for Project Beta,Meeting Decision,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Project Beta system Metrics Engine.,Comprehensive architecture guidelines covering monitoring within Project Beta.,Architecture,Project Beta,Metrics Engine,Monitoring,emp_787,Senior Architect,2023-07-26,2025-05-03,Superseded,Approved,3.2,False,True,,Senior Architect,Public,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0023,en
DOC-0024,Meeting Decision: Kubernetes Guidelines for Project Beta,Meeting Decision,Kubernetes,Technical assessment and standard guidelines regarding Kubernetes implementation for Project Beta system Payment Gateway.,Comprehensive architecture guidelines covering Kubernetes within Project Beta.,Architecture,Project Beta,Payment Gateway,Kubernetes,emp_478,Architecture Team,2021-11-20,2024-05-05,Draft,Draft,3.2,True,False,,Architecture Team,Public,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0024,en
DOC-0025,Deprecated Document: Backend Architecture Guidelines for Project Alpha,Deprecated Document,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Project Alpha system Search Engine.,Comprehensive architecture guidelines covering backend architecture within Project Alpha.,Platform,Project Alpha,Search Engine,Backend Architecture,emp_209,Chief Architect,2021-11-15,2023-05-26,Draft,Draft,3.1,True,False,,Chief Architect,Internal,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0025,en
DOC-0026,Standard: Ci/Cd Guidelines for Project Delta,Standard,CI/CD,Technical assessment and standard guidelines regarding CI/CD implementation for Project Delta system Auth Service.,Comprehensive architecture guidelines covering CI/CD within Project Delta.,Architecture,Project Delta,Auth Service,Ci/Cd,emp_749,Chief Architect,2025-08-26,2026-01-14,Superseded,Approved,1.2,False,True,,Chief Architect,Restricted,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0026,en
DOC-0027,Engineering Note: Data Storage Guidelines for Project Omega,Engineering Note,data storage,Technical assessment and standard guidelines regarding data storage implementation for Project Omega system Payment Gateway.,Comprehensive architecture guidelines covering data storage within Project Omega.,Engineering,Project Omega,Payment Gateway,Data Storage,emp_807,Chief Architect,2024-01-23,2024-02-28,Draft,Draft,1.1,True,False,,Chief Architect,Internal,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0027,en
DOC-0028,Deprecated Document: Apis Guidelines for Project Gamma,Deprecated Document,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Gamma system User Portal.,Comprehensive architecture guidelines covering APIs within Project Gamma.,Platform,Project Gamma,User Portal,Apis,emp_462,Chief Architect,2025-12-16,2026-07-27,Draft,Rejected,3.0,True,False,,Chief Architect,Internal,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0028,en
DOC-0029,Standard: Messaging Guidelines for Project Delta,Standard,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Delta system Data Pipeline.,Comprehensive architecture guidelines covering messaging within Project Delta.,Engineering,Project Delta,Data Pipeline,Messaging,emp_901,Senior Engineer,2025-07-01,2026-06-08,Draft,Under Review,3.0,True,False,,Senior Engineer,Confidential,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0029,en
DOC-0030,Project Documentation: Containers Guidelines for Project Beta,Project Documentation,containers,Technical assessment and standard guidelines regarding containers implementation for Project Beta system Inventory System.,Comprehensive architecture guidelines covering containers within Project Beta.,Product,Project Beta,Inventory System,Containers,emp_412,Senior Engineer,2022-04-02,2022-05-20,Draft,Under Review,2.0,True,False,,Senior Engineer,Restricted,Product Core Team,Confluence,https://wiki.org/docs/DOC-0030,en
DOC-0031,Meeting Decision: Backend Architecture Guidelines for Enterprise Gateway,Meeting Decision,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Enterprise Gateway system Event Bus.,Comprehensive architecture guidelines covering backend architecture within Enterprise Gateway.,Data Engineering,Enterprise Gateway,Event Bus,Backend Architecture,emp_218,Architecture Board,2022-01-01,2025-04-04,Superseded,Draft,3.1,False,True,,Architecture Board,Restricted,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0031,en
DOC-0032,Architecture Decision Record: Event Streaming Guidelines for Project Omega,Architecture Decision Record,event streaming,Technical assessment and standard guidelines regarding event streaming implementation for Project Omega system Metrics Engine.,Comprehensive architecture guidelines covering event streaming within Project Omega.,Engineering,Project Omega,Metrics Engine,Event Streaming,emp_360,Architecture Team,2024-12-22,2026-03-13,Active,Approved,3.2,True,False,,Architecture Team,Internal,Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0032,en
DOC-0033,Meeting Decision: Backend Architecture Guidelines for Project Gamma,Meeting Decision,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Project Gamma system Event Bus.,Comprehensive architecture guidelines covering backend architecture within Project Gamma.,Data Engineering,Project Gamma,Event Bus,Backend Architecture,emp_837,Chief Architect,2023-11-05,2024-09-16,Draft,Rejected,3.1,True,False,,Chief Architect,Internal,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0033,en
DOC-0034,Deprecated Document: Security Guidelines for Core Infrastructure,Deprecated Document,security,Technical assessment and standard guidelines regarding security implementation for Core Infrastructure system Data Pipeline.,Comprehensive architecture guidelines covering security within Core Infrastructure.,DevOps,Core Infrastructure,Data Pipeline,Security,emp_515,Principal Engineer,2025-09-04,2025-09-04,Draft,Draft,2.2,True,False,,Principal Engineer,Restricted,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0034,en
DOC-0035,Deprecated Document: Microservices Guidelines for Project Omega,Deprecated Document,microservices,Technical assessment and standard guidelines regarding microservices implementation for Project Omega system Data Pipeline.,Comprehensive architecture guidelines covering microservices within Project Omega.,Security,Project Omega,Data Pipeline,Microservices,emp_390,Chief Architect,2024-09-21,2026-07-01,Superseded,Draft,1.2,False,True,,Chief Architect,Restricted,Security Core Team,Git Markdown,https://wiki.org/docs/DOC-0035,en
DOC-0036,Standard: Databases Guidelines for Project Alpha,Standard,databases,"Title: Standard for Project Alpha
Department: Platform

DynamoDB is chosen as the managed key-value store for high throughput in Project Alpha.",Comprehensive architecture guidelines covering databases within Project Alpha.,Platform,Project Alpha,Inventory System,DynamoDB,emp_566,Chief Architect,2025-12-20,2026-05-30,Draft,Under Review,2.1,True,False,,Chief Architect,Confidential,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0036,en
DOC-0037,Engineering Note: Databases Guidelines for Enterprise Gateway,Engineering Note,databases,"Title: Engineering Note for Enterprise Gateway
Department: Product

DynamoDB is chosen as the managed key-value store for high throughput in Enterprise Gateway.",Comprehensive architecture guidelines covering databases within Enterprise Gateway.,Product,Enterprise Gateway,Payment Gateway,DynamoDB,emp_324,Engineer,2025-07-05,2026-06-26,Superseded,Rejected,1.0,False,True,,Engineer,Confidential,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0037,en
DOC-0038,Deprecated Document: Ci/Cd Guidelines for Project Omega,Deprecated Document,CI/CD,Technical assessment and standard guidelines regarding CI/CD implementation for Project Omega system Event Bus.,Comprehensive architecture guidelines covering CI/CD within Project Omega.,Data Engineering,Project Omega,Event Bus,Ci/Cd,emp_727,Project Notes,2023-05-24,2026-06-19,Draft,Rejected,3.1,True,False,,Project Notes,Confidential,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0038,en
DOC-0039,Policy: Frontend Architecture Guidelines for Project Gamma,Policy,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Gamma system Inventory System.,Comprehensive architecture guidelines covering frontend architecture within Project Gamma.,Product,Project Gamma,Inventory System,Frontend Architecture,emp_381,Architecture Team,2021-06-08,2025-06-08,Draft,Draft,2.1,True,False,,Architecture Team,Public,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0039,en
DOC-0040,Security Recommendation: Cloud Providers Guidelines for Core Infrastructure,Security Recommendation,cloud providers,Technical assessment and standard guidelines regarding cloud providers implementation for Core Infrastructure system Payment Gateway.,Comprehensive architecture guidelines covering cloud providers within Core Infrastructure.,Platform,Core Infrastructure,Payment Gateway,Cloud Providers,emp_517,Engineer,2024-01-17,2025-05-08,Superseded,Rejected,2.1,False,True,,Engineer,Public,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0040,en
DOC-0041,Standard: Security Guidelines for Project Delta,Standard,security,Technical assessment and standard guidelines regarding security implementation for Project Delta system Event Bus.,Comprehensive architecture guidelines covering security within Project Delta.,Engineering,Project Delta,Event Bus,Security,emp_871,Principal Engineer,2025-10-14,2026-05-16,Draft,Under Review,2.1,True,False,,Principal Engineer,Confidential,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0041,en
DOC-0042,Draft Document: Backend Architecture Guidelines for Enterprise Gateway,Draft Document,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Enterprise Gateway system Data Pipeline.,Comprehensive architecture guidelines covering backend architecture within Enterprise Gateway.,Security,Enterprise Gateway,Data Pipeline,Backend Architecture,emp_230,Project Notes,2023-12-30,2024-01-26,Draft,Rejected,3.0,True,False,,Project Notes,Public,Security Core Team,Confluence,https://wiki.org/docs/DOC-0042,en
DOC-0043,Project Documentation: Caching Guidelines for Project Beta,Project Documentation,caching,Technical assessment and standard guidelines regarding caching implementation for Project Beta system Search Engine.,Comprehensive architecture guidelines covering caching within Project Beta.,Engineering,Project Beta,Search Engine,Caching,emp_435,Engineer,2023-07-21,2025-05-20,Draft,Draft,2.1,True,False,,Engineer,Confidential,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0043,en
DOC-0044,Technical Design Document: Databases Guidelines for Core Infrastructure,Technical Design Document,databases,"Title: Technical Design Document for Core Infrastructure
Department: Data Engineering

PostgreSQL 15 is approved as the standard relational database storage platform for Core Infrastructure. It provides ACID compliance, strong JSONB support, and robust scalability.",Comprehensive architecture guidelines covering databases within Core Infrastructure.,Data Engineering,Core Infrastructure,Auth Service,PostgreSQL,emp_329,Senior Engineer,2025-05-19,2026-04-17,Active,Approved,1.0,True,False,,Senior Engineer,Internal,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0044,en
DOC-0045,Security Recommendation: Authorization Guidelines for Project Omega,Security Recommendation,authorization,Technical assessment and standard guidelines regarding authorization implementation for Project Omega system Inventory System.,Comprehensive architecture guidelines covering authorization within Project Omega.,Platform,Project Omega,Inventory System,Authorization,emp_885,Principal Engineer,2021-12-10,2025-05-03,Active,Approved,1.1,True,False,,Principal Engineer,Public,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0045,en
DOC-0046,Draft Document: Infrastructure Guidelines for Core Infrastructure,Draft Document,infrastructure,Technical assessment and standard guidelines regarding infrastructure implementation for Core Infrastructure system Metrics Engine.,Comprehensive architecture guidelines covering infrastructure within Core Infrastructure.,Security,Core Infrastructure,Metrics Engine,Infrastructure,emp_177,Architecture Team,2024-11-15,2025-07-21,Active,Approved,2.2,True,False,,Architecture Team,Public,Security Core Team,Confluence,https://wiki.org/docs/DOC-0046,en
DOC-0047,Deprecated Document: Apis Guidelines for Project Gamma,Deprecated Document,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Gamma system Metrics Engine.,Comprehensive architecture guidelines covering APIs within Project Gamma.,Data Engineering,Project Gamma,Metrics Engine,Apis,emp_170,Senior Engineer,2024-08-19,2025-08-03,Active,Approved,2.0,True,False,,Senior Engineer,Confidential,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0047,en
DOC-0048,Deprecated Document: Caching Guidelines for Core Infrastructure,Deprecated Document,caching,Technical assessment and standard guidelines regarding caching implementation for Core Infrastructure system Metrics Engine.,Comprehensive architecture guidelines covering caching within Core Infrastructure.,Platform,Core Infrastructure,Metrics Engine,Caching,emp_851,Senior Architect,2026-06-01,2026-07-12,Draft,Draft,3.1,True,False,,Senior Architect,Confidential,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0048,en
DOC-0049,Policy: Kubernetes Guidelines for Project Gamma,Policy,Kubernetes,Technical assessment and standard guidelines regarding Kubernetes implementation for Project Gamma system User Portal.,Comprehensive architecture guidelines covering Kubernetes within Project Gamma.,Product,Project Gamma,User Portal,Kubernetes,emp_385,Chief Architect,2022-05-15,2026-07-29,Draft,Rejected,3.1,True,False,,Chief Architect,Restricted,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0049,en
DOC-0050,Meeting Decision: Messaging Guidelines for Project Delta,Meeting Decision,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Delta system Event Bus.,Comprehensive architecture guidelines covering messaging within Project Delta.,Platform,Project Delta,Event Bus,Messaging,emp_448,Principal Engineer,2025-12-08,2026-05-09,Draft,Draft,3.0,True,False,,Principal Engineer,Public,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0050,en
DOC-0051,Architecture Decision Record: Deployment Guidelines for Enterprise Gateway,Architecture Decision Record,deployment,Technical assessment and standard guidelines regarding deployment implementation for Enterprise Gateway system Inventory System.,Comprehensive architecture guidelines covering deployment within Enterprise Gateway.,Platform,Enterprise Gateway,Inventory System,Deployment,emp_558,Project Notes,2021-07-10,2023-03-04,Draft,Under Review,1.1,True,False,,Project Notes,Restricted,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0051,en
DOC-0052,Policy: Data Storage Guidelines for Core Infrastructure,Policy,data storage,Technical assessment and standard guidelines regarding data storage implementation for Core Infrastructure system Event Bus.,Comprehensive architecture guidelines covering data storage within Core Infrastructure.,Data Engineering,Core Infrastructure,Event Bus,Data Storage,emp_819,Senior Engineer,2022-07-09,2024-03-27,Draft,Draft,3.0,True,False,,Senior Engineer,Restricted,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0052,en
DOC-0053,Draft Document: Messaging Guidelines for Project Beta,Draft Document,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Beta system Inventory System.,Comprehensive architecture guidelines covering messaging within Project Beta.,Platform,Project Beta,Inventory System,Messaging,emp_841,Principal Engineer,2026-06-24,2026-07-27,Draft,Draft,1.1,True,False,,Principal Engineer,Internal,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0053,en
DOC-0054,Meeting Decision: Deployment Guidelines for Project Beta,Meeting Decision,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Beta system Auth Service.,Comprehensive architecture guidelines covering deployment within Project Beta.,Architecture,Project Beta,Auth Service,Deployment,emp_666,Architecture Board,2024-11-29,2025-04-07,Superseded,Rejected,1.2,False,True,,Architecture Board,Restricted,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0054,en
DOC-0055,Technical Design Document: Messaging Guidelines for Project Alpha,Technical Design Document,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Alpha system Inventory System.,Comprehensive architecture guidelines covering messaging within Project Alpha.,Architecture,Project Alpha,Inventory System,Messaging,emp_941,Chief Architect,2023-04-01,2026-01-02,Active,Approved,3.0,True,False,,Chief Architect,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0055,en
DOC-0056,Standard: Logging Guidelines for Project Alpha,Standard,logging,Technical assessment and standard guidelines regarding logging implementation for Project Alpha system Payment Gateway.,Comprehensive architecture guidelines covering logging within Project Alpha.,Platform,Project Alpha,Payment Gateway,Logging,emp_882,Unverified,2024-05-26,2026-01-26,Draft,Under Review,2.1,True,False,,Unverified,Confidential,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0056,en
DOC-0057,Project Documentation: Data Storage Guidelines for Project Gamma,Project Documentation,data storage,Technical assessment and standard guidelines regarding data storage implementation for Project Gamma system Auth Service.,Comprehensive architecture guidelines covering data storage within Project Gamma.,Data Engineering,Project Gamma,Auth Service,Data Storage,emp_881,Chief Architect,2024-07-05,2025-02-06,Draft,Draft,1.0,True,False,,Chief Architect,Internal,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0057,en
DOC-0058,Project Documentation: Data Storage Guidelines for Project Delta,Project Documentation,data storage,Technical assessment and standard guidelines regarding data storage implementation for Project Delta system Inventory System.,Comprehensive architecture guidelines covering data storage within Project Delta.,DevOps,Project Delta,Inventory System,Data Storage,emp_133,Principal Engineer,2022-08-14,2026-07-31,Draft,Draft,2.0,True,False,,Principal Engineer,Internal,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0058,en
DOC-0059,Deprecated Document: Frontend Architecture Guidelines for Project Omega,Deprecated Document,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Omega system User Portal.,Comprehensive architecture guidelines covering frontend architecture within Project Omega.,DevOps,Project Omega,User Portal,Frontend Architecture,emp_217,Engineer,2022-04-06,2025-11-22,Draft,Under Review,1.0,True,False,,Engineer,Public,DevOps Core Team,Git Markdown,https://wiki.org/docs/DOC-0059,en
DOC-0060,Meeting Decision: Infrastructure Guidelines for Project Gamma,Meeting Decision,infrastructure,Technical assessment and standard guidelines regarding infrastructure implementation for Project Gamma system Payment Gateway.,Comprehensive architecture guidelines covering infrastructure within Project Gamma.,Security,Project Gamma,Payment Gateway,Infrastructure,emp_805,Project Notes,2024-12-04,2026-01-20,Draft,Draft,2.1,True,False,,Project Notes,Public,Security Core Team,Confluence,https://wiki.org/docs/DOC-0060,en
